"Host_code" "clust_smb_quad_plant" "clust_smb_quad_virus" "Grid_code" "clus_famd_grid_env" "Collection_date"
"255" "22_CAM_080300" 4 2 "22_CAM_08" "2" "2021-05-12"
"256" "22_CAM_080400" 4 2 "22_CAM_08" "2" "2021-05-12"
"257" "22_CAM_080500" 4 2 "22_CAM_08" "2" "2021-05-12"
"258" "22_CAM_080600" 4 2 "22_CAM_08" "2" "2021-05-12"
"259" "22_CAM_080700" 4 2 "22_CAM_08" "2" "2021-05-12"
"260" "22_CAM_080800" 4 2 "22_CAM_08" "2" "2021-05-12"
"261" "22_CAM_080900" 4 2 "22_CAM_08" "2" "2021-05-12"
"262" "22_CAM_090100" 4 2 "22_CAM_09" "2" "2021-05-25"
"263" "22_CAM_090200" 4 2 "22_CAM_09" "2" "2021-05-25"
"264" "22_CAM_090300" 4 2 "22_CAM_09" "2" "2021-05-25"
"265" "22_CAM_090400" 4 2 "22_CAM_09" "2" "2021-05-25"
"266" "22_CAM_090500" 4 2 "22_CAM_09" "2" "2021-05-25"
"267" "22_CAM_090600" 4 2 "22_CAM_09" "2" "2021-05-25"
"268" "22_CAM_090700" 4 2 "22_CAM_09" "2" "2021-05-25"
"269" "22_CAM_090800" 4 2 "22_CAM_09" "2" "2021-05-25"
"270" "22_CAM_090900" 4 2 "22_CAM_09" "2" "2021-05-25"
"271" "22_CAM_100100" 4 2 "22_CAM_10" "2" "2021-05-25"
"272" "22_CAM_100200" 4 2 "22_CAM_10" "2" "2021-05-25"
"273" "22_CAM_100300" 4 2 "22_CAM_10" "2" "2021-05-25"
"274" "22_CAM_100400" 4 2 "22_CAM_10" "2" "2021-05-25"
"275" "22_CAM_100500" 4 2 "22_CAM_10" "2" "2021-06-08"
"276" "22_CAM_100600" 4 2 "22_CAM_10" "2" "2021-06-08"
"277" "22_CAM_100700" 4 2 "22_CAM_10" "2" "2021-06-08"
"278" "22_CAM_100800" 4 2 "22_CAM_10" "2" "2021-06-08"
"279" "22_CAM_100900" 4 2 "22_CAM_10" "2" "2021-06-08"
"280" "22_CAM_110100" 5 2 "22_CAM_11" "2" "2021-06-08"
"281" "22_CAM_110200" 4 2 "22_CAM_11" "2" "2021-06-08"
"282" "22_CAM_110300" 5 2 "22_CAM_11" "2" "2021-06-08"
"283" "22_CAM_110400" 4 2 "22_CAM_11" "2" "2021-06-21"
"284" "22_CAM_110500" 6 2 "22_CAM_11" "2" "2021-06-21"
"285" "22_CAM_110600" 6 2 "22_CAM_11" "2" "2021-06-21"
"286" "22_CAM_110700" 4 2 "22_CAM_11" "2" "2021-06-21"
"287" "22_CAM_110800" 4 2 "22_CAM_11" "2" "2021-06-21"
"288" "22_CAM_110900" 4 2 "22_CAM_11" "2" "2021-06-21"
"289" "22_CAM_120100" 6 2 "22_CAM_12" "1" "2021-06-21"
"290" "22_CAM_120200" 6 2 "22_CAM_12" "1" "2021-06-21"
"291" "22_CAM_120300" 6 2 "22_CAM_12" "1" "2021-06-21"
"292" "22_CAM_120400" 6 2 "22_CAM_12" "1" "2021-06-21"
"293" "22_CAM_120500" 6 2 "22_CAM_12" "1" "2021-06-21"
"294" "22_CAM_120600" 6 2 "22_CAM_12" "1" "2021-06-21"
"295" "22_CAM_120700" 6 2 "22_CAM_12" "1" "2021-06-21"
"296" "22_CAM_120800" 6 2 "22_CAM_12" "1" "2021-06-21"
"297" "22_CAM_120900" 6 2 "22_CAM_12" "1" "2021-06-21"
"298" "22_CAM_130100" 6 2 "22_CAM_13" "1" "2021-06-21"
"299" "22_CAM_130200" 6 2 "22_CAM_13" "1" "2021-06-21"
"300" "22_CAM_130300" 6 2 "22_CAM_13" "1" "2021-06-21"
"301" "22_CAM_130400" 6 2 "22_CAM_13" "1" "2021-06-21"
"302" "22_CAM_130500" 6 2 "22_CAM_13" "1" "2021-06-21"
"303" "22_CAM_130600" 6 2 "22_CAM_13" "1" "2021-06-21"
"304" "22_CAM_130700" 6 2 "22_CAM_13" "1" "2022-04-14"
"305" "22_CAM_130800" 6 2 "22_CAM_13" "1" "2022-04-14"
"306" "22_CAM_130900" 6 2 "22_CAM_13" "1" "2022-04-14"
"307" "22_CAM_140100" 6 2 "22_CAM_14" "1" "2022-04-14"
"308" "22_CAM_140200" 6 2 "22_CAM_14" "1" "2022-04-14"
"309" "22_CAM_140300" 6 2 "22_CAM_14" "1" "2022-05-11"
"310" "22_CAM_140400" 6 2 "22_CAM_14" "1" "2022-05-11"
"311" "22_CAM_140500" 6 2 "22_CAM_14" "1" "2022-04-25"
"312" "22_CAM_140600" 6 2 "22_CAM_14" "1" "2022-05-11"
"313" "22_CAM_140700" 6 2 "22_CAM_14" "1" "2022-05-11"
"314" "22_CAM_140800" 6 2 "22_CAM_14" "1" "2022-04-14"
"315" "22_CAM_140900" 6 2 "22_CAM_14" "1" "2022-05-11"
"316" "22_CAM_160100" 3 2 "22_CAM_16" "3" "2022-04-25"
"317" "22_CAM_160200" 5 2 "22_CAM_16" "3" "2022-05-11"
"318" "22_CAM_160300" 5 2 "22_CAM_16" "3" "2022-05-11"
"319" "22_CAM_160400" 5 2 "22_CAM_16" "3" "2022-05-11"
"320" "22_CAM_160500" 5 2 "22_CAM_16" "3" "2022-04-25"
"321" "22_CAM_160600" 5 2 "22_CAM_16" "3" "2022-04-14"
"322" "22_CAM_160700" 5 2 "22_CAM_16" "3" "2022-05-12"
"323" "22_CAM_160800" 5 2 "22_CAM_16" "3" "2022-05-11"
"324" "22_CAM_160900" 5 2 "22_CAM_16" "3" "2022-05-11"
"325" "22_CAM_170100" 5 2 "22_CAM_17" "3" "2022-05-11"
"326" "22_CAM_170200" 5 2 "22_CAM_17" "3" "2022-05-11"
"327" "22_CAM_170300" 5 2 "22_CAM_17" "3" "2022-04-25"
"328" "22_CAM_170400" 5 2 "22_CAM_17" "3" "2022-05-12"
"329" "22_CAM_170500" 5 2 "22_CAM_17" "3" "2022-06-03"
"330" "22_CAM_170600" 5 2 "22_CAM_17" "3" "2022-05-18"
"331" "22_CAM_170700" 5 2 "22_CAM_17" "3" "2022-05-18"
"332" "22_CAM_170800" 5 2 "22_CAM_17" "3" "2022-05-16"
"333" "22_CAM_170900" 5 2 "22_CAM_17" "3" "2022-06-03"
"334" "22_CAM_180100" 5 2 "22_CAM_18" "3" "2022-06-03"
"335" "22_CAM_180200" 5 2 "22_CAM_18" "3" "2022-05-18"
"336" "22_CAM_180300" 5 2 "22_CAM_18" "3" "2022-05-18"
"337" "22_CAM_180400" 5 2 "22_CAM_18" "3" "2022-05-16"
"338" "22_CAM_180500" 5 2 "22_CAM_18" "3" "2022-05-16"
"339" "22_CAM_180600" 5 2 "22_CAM_18" "3" "2022-06-03"
"340" "22_CAM_180700" 5 2 "22_CAM_18" "3" "2022-06-03"
"341" "22_CAM_180800" 5 2 "22_CAM_18" "3" "2022-05-18"
"342" "22_CAM_180900" 5 2 "22_CAM_18" "3" "2022-05-18"
"343" "22_CAM_190100" 5 2 "22_CAM_19" "3" "2022-05-16"
"344" "22_CAM_190200" 5 2 "22_CAM_19" "3" "2022-05-16"
"345" "22_CAM_190300" 5 2 "22_CAM_19" "3" "2022-05-16"
"346" "22_CAM_190400" 5 2 "22_CAM_19" "3" "2022-06-03"
"347" "22_CAM_190500" 5 2 "22_CAM_19" "3" "2022-06-03"
"348" "22_CAM_190600" 5 2 "22_CAM_19" "3" "2022-05-18"
"349" "22_CAM_190700" 5 2 "22_CAM_19" "3" "2022-05-18"
"350" "22_CAM_190800" 5 2 "22_CAM_19" "3" "2022-05-16"
"351" "22_CAM_190900" 5 2 "22_CAM_19" "3" "2022-06-03"
"352" "22_CAM_200100" 5 2 "22_CAM_20" "3" "2022-06-03"
