"Host_code" "Grid_code" "quadra_A" "quadra_B" "dist"
"233" "20_BDX_020300" "20_BDX_02" 3 5 10.4651803615609
"234" "20_BDX_020300" "20_BDX_02" 3 6 7.77946013551069
"235" "20_BDX_020300" "20_BDX_02" 3 7 3.39411254969543
"236" "20_BDX_020300" "20_BDX_02" 3 8 7.77946013551069
"237" "20_BDX_020300" "20_BDX_02" 3 9 6.92964645562817
"238" "20_BDX_020400" "20_BDX_02" 4 5 7.77946013551069
"239" "20_BDX_020400" "20_BDX_02" 4 6 10.4651803615609
"240" "20_BDX_020400" "20_BDX_02" 4 7 7.77946013551069
"241" "20_BDX_020400" "20_BDX_02" 4 8 3.39411254969543
"242" "20_BDX_020400" "20_BDX_02" 4 9 6.92964645562817
"243" "20_BDX_020500" "20_BDX_02" 5 6 5
"244" "20_BDX_020500" "20_BDX_02" 5 7 7.07106781186548
"245" "20_BDX_020500" "20_BDX_02" 5 8 5
"246" "20_BDX_020500" "20_BDX_02" 5 9 3.53553390593274
"247" "20_BDX_020600" "20_BDX_02" 6 7 5
"248" "20_BDX_020600" "20_BDX_02" 6 8 7.07106781186548
"249" "20_BDX_020600" "20_BDX_02" 6 9 3.53553390593274
"250" "20_BDX_020700" "20_BDX_02" 7 8 5
"251" "20_BDX_020700" "20_BDX_02" 7 9 3.53553390593274
"252" "20_BDX_020800" "20_BDX_02" 8 9 3.53553390593274
"253" "20_BDX_030100" "20_BDX_03" 1 2 9.8
"254" "20_BDX_030100" "20_BDX_03" 1 3 13.8592929112563
"255" "20_BDX_030100" "20_BDX_03" 1 4 9.8
"256" "20_BDX_030100" "20_BDX_03" 1 5 3.39411254969543
"257" "20_BDX_030100" "20_BDX_03" 1 6 7.77946013551069
"258" "20_BDX_030100" "20_BDX_03" 1 7 10.4651803615609
"259" "20_BDX_030100" "20_BDX_03" 1 8 7.77946013551069
"260" "20_BDX_030100" "20_BDX_03" 1 9 6.92964645562817
"261" "20_BDX_030200" "20_BDX_03" 2 3 9.8
"262" "20_BDX_030200" "20_BDX_03" 2 4 13.8592929112563
"263" "20_BDX_030200" "20_BDX_03" 2 5 7.77946013551069
"264" "20_BDX_030200" "20_BDX_03" 2 6 3.39411254969543
"265" "20_BDX_030200" "20_BDX_03" 2 7 7.77946013551069
"266" "20_BDX_030200" "20_BDX_03" 2 8 10.4651803615609
"267" "20_BDX_030200" "20_BDX_03" 2 9 6.92964645562817
"268" "20_BDX_030300" "20_BDX_03" 3 4 9.8
"269" "20_BDX_030300" "20_BDX_03" 3 5 10.4651803615609
"270" "20_BDX_030300" "20_BDX_03" 3 6 7.77946013551069
"271" "20_BDX_030300" "20_BDX_03" 3 7 3.39411254969543
"272" "20_BDX_030300" "20_BDX_03" 3 8 7.77946013551069
"273" "20_BDX_030300" "20_BDX_03" 3 9 6.92964645562817
"274" "20_BDX_030400" "20_BDX_03" 4 5 7.77946013551069
"275" "20_BDX_030400" "20_BDX_03" 4 6 10.4651803615609
"276" "20_BDX_030400" "20_BDX_03" 4 7 7.77946013551069
"277" "20_BDX_030400" "20_BDX_03" 4 8 3.39411254969543
"278" "20_BDX_030400" "20_BDX_03" 4 9 6.92964645562817
"279" "20_BDX_030500" "20_BDX_03" 5 6 5
"280" "20_BDX_030500" "20_BDX_03" 5 7 7.07106781186548
"281" "20_BDX_030500" "20_BDX_03" 5 8 5
"282" "20_BDX_030500" "20_BDX_03" 5 9 3.53553390593274
"283" "19_AFS_010100" "19_AFS_01" 1 2 9.8
"284" "19_AFS_010100" "19_AFS_01" 1 3 13.8592929112563
"285" "19_AFS_010100" "19_AFS_01" 1 4 9.8
"286" "19_AFS_010100" "19_AFS_01" 1 5 3.39411254969543
"287" "19_AFS_010100" "19_AFS_01" 1 6 7.77946013551069
"288" "19_AFS_010100" "19_AFS_01" 1 7 10.4651803615609
"289" "19_AFS_010100" "19_AFS_01" 1 8 7.77946013551069
"290" "19_AFS_010100" "19_AFS_01" 1 9 6.92964645562817
"291" "19_AFS_010200" "19_AFS_01" 2 3 9.8
"292" "19_AFS_010200" "19_AFS_01" 2 4 13.8592929112563
"293" "19_AFS_010200" "19_AFS_01" 2 5 7.77946013551069
"294" "19_AFS_010200" "19_AFS_01" 2 6 3.39411254969543
"295" "19_AFS_010200" "19_AFS_01" 2 7 7.77946013551069
"296" "19_AFS_010200" "19_AFS_01" 2 8 10.4651803615609
"297" "19_AFS_010200" "19_AFS_01" 2 9 6.92964645562817
"298" "19_AFS_010300" "19_AFS_01" 3 4 9.8
"299" "19_AFS_010300" "19_AFS_01" 3 5 10.4651803615609
"300" "19_AFS_010300" "19_AFS_01" 3 6 7.77946013551069
"301" "19_AFS_010300" "19_AFS_01" 3 7 3.39411254969543
"302" "19_AFS_010300" "19_AFS_01" 3 8 7.77946013551069
"303" "19_AFS_010300" "19_AFS_01" 3 9 6.92964645562817
"304" "19_AFS_010400" "19_AFS_01" 4 5 7.77946013551069
"305" "19_AFS_010400" "19_AFS_01" 4 6 10.4651803615609
"306" "19_AFS_010400" "19_AFS_01" 4 7 7.77946013551069
"307" "19_AFS_010400" "19_AFS_01" 4 8 3.39411254969543
"308" "19_AFS_010400" "19_AFS_01" 4 9 6.92964645562817
"309" "19_AFS_010500" "19_AFS_01" 5 6 5
"310" "19_AFS_010500" "19_AFS_01" 5 7 7.07106781186548
"311" "19_AFS_010500" "19_AFS_01" 5 8 5
"312" "19_AFS_010500" "19_AFS_01" 5 9 3.53553390593274
"313" "19_AFS_010600" "19_AFS_01" 6 7 5
"314" "19_AFS_010600" "19_AFS_01" 6 8 7.07106781186548
"315" "19_AFS_010600" "19_AFS_01" 6 9 3.53553390593274
"316" "19_AFS_010700" "19_AFS_01" 7 8 5
"317" "19_AFS_010700" "19_AFS_01" 7 9 3.53553390593274
"318" "19_AFS_010800" "19_AFS_01" 8 9 3.53553390593274
"319" "19_AFS_020100" "19_AFS_02" 1 2 9.8
"320" "19_AFS_020100" "19_AFS_02" 1 3 13.8592929112563
"321" "19_AFS_020100" "19_AFS_02" 1 4 9.8
"322" "19_AFS_020100" "19_AFS_02" 1 5 3.39411254969543
"323" "19_AFS_020100" "19_AFS_02" 1 6 7.77946013551069
"324" "19_AFS_020100" "19_AFS_02" 1 7 10.4651803615609
"325" "19_AFS_020100" "19_AFS_02" 1 8 7.77946013551069
"326" "19_AFS_020100" "19_AFS_02" 1 9 6.92964645562817
"327" "19_AFS_020200" "19_AFS_02" 2 3 9.8
"328" "19_AFS_020200" "19_AFS_02" 2 4 13.8592929112563
"329" "19_AFS_020200" "19_AFS_02" 2 5 7.77946013551069
"330" "19_AFS_020200" "19_AFS_02" 2 6 3.39411254969543
"331" "19_AFS_020200" "19_AFS_02" 2 7 7.77946013551069
"332" "19_AFS_020200" "19_AFS_02" 2 8 10.4651803615609
"333" "19_AFS_020200" "19_AFS_02" 2 9 6.92964645562817
"334" "19_AFS_020300" "19_AFS_02" 3 4 9.8
"335" "19_AFS_020300" "19_AFS_02" 3 5 10.4651803615609
"336" "19_AFS_020300" "19_AFS_02" 3 6 7.77946013551069
"337" "19_AFS_020300" "19_AFS_02" 3 7 3.39411254969543
"338" "19_AFS_020300" "19_AFS_02" 3 8 7.77946013551069
"339" "19_AFS_020300" "19_AFS_02" 3 9 6.92964645562817
"340" "19_AFS_020400" "19_AFS_02" 4 5 7.77946013551069
"341" "19_AFS_020400" "19_AFS_02" 4 6 10.4651803615609
"342" "19_AFS_020400" "19_AFS_02" 4 7 7.77946013551069
"343" "19_AFS_020400" "19_AFS_02" 4 8 3.39411254969543
"344" "19_AFS_020400" "19_AFS_02" 4 9 6.92964645562817
"345" "19_AFS_020500" "19_AFS_02" 5 6 5
"346" "19_AFS_020500" "19_AFS_02" 5 7 7.07106781186548
"347" "19_AFS_020500" "19_AFS_02" 5 8 5
"348" "19_AFS_020500" "19_AFS_02" 5 9 3.53553390593274
"349" "19_AFS_020600" "19_AFS_02" 6 7 5
"350" "19_AFS_020600" "19_AFS_02" 6 8 7.07106781186548
"351" "19_AFS_020600" "19_AFS_02" 6 9 3.53553390593274
"352" "19_AFS_020700" "19_AFS_02" 7 8 5
"353" "19_AFS_020700" "19_AFS_02" 7 9 3.53553390593274
"354" "19_AFS_020800" "19_AFS_02" 8 9 3.53553390593274
"355" "19_AFS_030100" "19_AFS_03" 1 2 9.8
"356" "19_AFS_030100" "19_AFS_03" 1 3 13.8592929112563
"357" "19_AFS_030100" "19_AFS_03" 1 4 9.8
"358" "19_AFS_030100" "19_AFS_03" 1 5 3.39411254969543
"359" "19_AFS_030100" "19_AFS_03" 1 6 7.77946013551069
"360" "19_AFS_030100" "19_AFS_03" 1 7 10.4651803615609
"361" "19_AFS_030100" "19_AFS_03" 1 8 7.77946013551069
"362" "19_AFS_030100" "19_AFS_03" 1 9 6.92964645562817
"363" "19_AFS_030200" "19_AFS_03" 2 3 9.8
"364" "19_AFS_030200" "19_AFS_03" 2 4 13.8592929112563
"365" "19_AFS_030200" "19_AFS_03" 2 5 7.77946013551069
"366" "19_AFS_030200" "19_AFS_03" 2 6 3.39411254969543
"367" "19_AFS_030200" "19_AFS_03" 2 7 7.77946013551069
"368" "19_AFS_030200" "19_AFS_03" 2 8 10.4651803615609
"369" "19_AFS_030200" "19_AFS_03" 2 9 6.92964645562817
"370" "19_AFS_030300" "19_AFS_03" 3 4 9.8
"371" "19_AFS_030300" "19_AFS_03" 3 5 10.4651803615609
"372" "19_AFS_030300" "19_AFS_03" 3 6 7.77946013551069
"373" "19_AFS_030300" "19_AFS_03" 3 7 3.39411254969543
"374" "19_AFS_030300" "19_AFS_03" 3 8 7.77946013551069
"375" "19_AFS_030300" "19_AFS_03" 3 9 6.92964645562817
"376" "19_AFS_030400" "19_AFS_03" 4 5 7.77946013551069
"377" "19_AFS_030400" "19_AFS_03" 4 6 10.4651803615609
"378" "19_AFS_030400" "19_AFS_03" 4 7 7.77946013551069
"379" "19_AFS_030400" "19_AFS_03" 4 8 3.39411254969543
"380" "19_AFS_030400" "19_AFS_03" 4 9 6.92964645562817
"381" "19_AFS_030500" "19_AFS_03" 5 6 5
"382" "19_AFS_030500" "19_AFS_03" 5 7 7.07106781186548
"383" "19_AFS_030500" "19_AFS_03" 5 8 5
"384" "19_AFS_030500" "19_AFS_03" 5 9 3.53553390593274
"385" "19_AFS_030600" "19_AFS_03" 6 7 5
"386" "19_AFS_030600" "19_AFS_03" 6 8 7.07106781186548
"387" "19_AFS_030600" "19_AFS_03" 6 9 3.53553390593274
"388" "19_AFS_030700" "19_AFS_03" 7 8 5
"389" "19_AFS_030700" "19_AFS_03" 7 9 3.53553390593274
"390" "19_AFS_030800" "19_AFS_03" 8 9 3.53553390593274
"391" "19_AFS_040100" "19_AFS_04" 1 2 9.8
"392" "19_AFS_040100" "19_AFS_04" 1 3 13.8592929112563
"393" "19_AFS_040100" "19_AFS_04" 1 4 9.8
"394" "19_AFS_040100" "19_AFS_04" 1 5 3.39411254969543
"395" "19_AFS_040100" "19_AFS_04" 1 6 7.77946013551069
"396" "19_AFS_040100" "19_AFS_04" 1 7 10.4651803615609
"397" "19_AFS_040100" "19_AFS_04" 1 8 7.77946013551069
"398" "19_AFS_040100" "19_AFS_04" 1 9 6.92964645562817
"399" "19_AFS_040200" "19_AFS_04" 2 3 9.8
"400" "19_AFS_040200" "19_AFS_04" 2 4 13.8592929112563
"401" "19_AFS_040200" "19_AFS_04" 2 5 7.77946013551069
"402" "19_AFS_040200" "19_AFS_04" 2 6 3.39411254969543
"403" "19_AFS_040200" "19_AFS_04" 2 7 7.77946013551069
"404" "19_AFS_040200" "19_AFS_04" 2 8 10.4651803615609
"405" "19_AFS_040200" "19_AFS_04" 2 9 6.92964645562817
"406" "19_AFS_040300" "19_AFS_04" 3 4 9.8
"407" "19_AFS_040300" "19_AFS_04" 3 5 10.4651803615609
"408" "19_AFS_040300" "19_AFS_04" 3 6 7.77946013551069
"409" "19_AFS_040300" "19_AFS_04" 3 7 3.39411254969543
